Minisector,BOT,ALB,Fastest
0,287.22437183673924,276.18247177777187,BOT
1,311.59523784873954,292.92444436542564,BOT
2,312.4605376627451,297.37437043809524,BOT
3,131.78668383420757,132.76172758696032,ALB
4,212.01502949600464,205.34273749333335,BOT
5,263.97618097513487,259.64753813333334,BOT
6,146.38990947030427,149.73886471232004,ALB
7,215.69516689066666,206.10590395671724,BOT
8,264.9554285139978,260.5611110095238,BOT
9,282.50621014984546,281.94645821714283,BOT
10,230.56141328695654,248.4937137356916,ALB
11,190.09975243705304,193.58771314829931,ALB
12,207.03164050477494,192.57446408459094,BOT
13,148.72524297020084,159.91886232380952,ALB
14,189.34941618233793,171.2789382878138,BOT
15,176.0784545403689,174.16633075268817,BOT
16,229.7678822095238,204.49834584245903,BOT
17,249.31199616853198,245.49492786086958,BOT
18,248.91560651131832,236.1123082536095,BOT
19,236.9733496607018,270.12672022857146,ALB
20,150.97253696426532,151.15835654426107,ALB
21,135.04886211113143,165.48212557113996,ALB
22,183.43536489195404,145.94404724183656,BOT
23,160.31096458499977,160.48425003063699,ALB
24,236.43003386666666,204.14951418768229,BOT
25,,254.93499914666668,ALB
