Minisector,PIA,ALO,Fastest
0,291.0554977658095,292.0106045393863,ALO
1,301.9233823018488,303.51420102930484,ALO
2,303.2390176005409,307.0,ALO
3,193.48065947193334,189.64600047217553,PIA
4,210.3424484868214,215.55788652033584,ALO
5,202.89470825031694,200.36334099520525,PIA
6,262.56657869172903,264.7920309327581,ALO
7,255.28955131097308,260.44567890430835,ALO
8,213.4695762100618,211.55460341742233,PIA
9,210.75627022058373,214.1219876120935,ALO
10,140.75313830086628,141.84987012311225,ALO
11,200.89679340495348,205.60517904078932,ALO
12,188.4290447884283,177.92287688565656,PIA
13,252.05906370811508,255.03140607717458,ALO
14,185.49942644063492,179.96469265285714,PIA
15,231.4871043339269,232.39632304060987,ALO
16,279.7119981329705,280.9663488686659,ALO
17,290.767638281946,292.34336174787876,ALO
18,285.63933506408716,286.6207484952381,ALO
19,273.4462897287247,265.6544356146939,PIA
20,265.82625424159164,261.0465392164102,PIA
21,264.88941810427934,263.7905966471692,PIA
22,231.14001794288512,232.36016083536742,ALO
23,207.63863368932104,206.38682903661623,PIA
24,266.9888140300164,270.1821365426087,ALO
25,281.0,,PIA
