Minisector,VET,KUB,Fastest
0,283.9738657323973,278.2223311213078,VET
1,250.3790418898472,240.1629154578626,VET
2,278.5099404077597,264.90117955440155,VET
3,301.091546407981,280.2075413430293,VET
4,124.61111327616167,121.42461392463332,VET
5,208.26454892492805,210.60787918006395,KUB
6,275.143424358255,265.46651371407535,VET
7,308.2252156579763,287.4411598453171,VET
8,324.53412443777376,296.6595588392157,VET
9,328.32666666666665,299.3301470745098,VET
10,303.89350906010486,273.8216522803024,VET
11,100.45475941792076,97.36168331274594,VET
12,223.3061751169935,221.5068502483198,VET
13,272.81597197037036,266.3865207835163,VET
14,275.86384021478824,263.19233535923,VET
15,130.03561555082942,125.24888148956195,VET
16,201.6933952924218,201.7980094380676,KUB
17,257.3734947546274,255.37832569315074,VET
18,257.2835603033909,248.02287025793444,VET
19,250.85898653915797,249.7083574610891,VET
20,149.98975822903117,144.48694865491098,VET
21,188.06070775017682,190.69859165338067,KUB
22,177.00962884555503,161.9256831923788,VET
23,189.31268707107873,186.09103548889993,VET
24,253.58364002112435,249.68150263591014,VET
