Minisector,VER,NOR,Fastest
0,281.79181846024903,288.61624158826885,NOR
1,294.47043636825396,301.13821212315656,NOR
2,299.87781966917294,305.67104165333336,NOR
3,302.0947989597994,306.8997512596223,NOR
4,255.54197029147872,252.4249757084886,VER
5,196.52514420229883,193.70023443437924,VER
6,256.2040832288092,258.1581784937098,NOR
7,279.37943250738977,279.2325672778504,VER
8,215.57157794285715,214.2519598618502,VER
9,210.23952562715758,211.23964029729382,NOR
10,144.06636249764784,136.67105703198547,VER
11,246.37490287545492,246.3158143971812,VER
12,273.28605073623186,276.80638959438386,NOR
13,224.12082024604803,221.6395750090405,VER
14,263.9366879307359,262.2002417366886,VER
15,224.32865326886082,233.17850863288146,NOR
16,188.71610796666667,178.9013327056632,VER
17,255.24571668757963,258.584958402202,NOR
18,150.31229705365854,149.9831139528822,VER
19,211.1871607647099,203.81223869709748,VER
20,270.42131994458873,272.86744439264555,NOR
21,285.5547617015873,290.7225154930066,NOR
22,165.64785482135784,165.33851430705982,VER
23,186.53993185918864,177.09868868641084,VER
24,258.56939052307695,256.33583636929717,VER
25,,278.3687504,NOR
