Minisector,LEC,VER,Fastest
0,275.1438111613968,274.20942742031747,LEC
1,295.93170087785734,291.6349362634548,LEC
2,295.20112467167917,290.4197752550265,LEC
3,182.46538389021944,174.82657169046877,LEC
4,116.59633444672015,115.67780076354808,LEC
5,232.5276931029228,234.01368529305728,VER
6,278.70654167466665,277.177780565047,LEC
7,291.1714339667725,290.65577199108543,LEC
8,175.27427869213608,171.63267943804058,LEC
9,141.05385110480896,139.09501598137086,LEC
10,246.58816492685423,249.23236119196645,VER
11,287.2868067970724,287.41495190348274,VER
12,301.7695502899471,292.40647515668087,LEC
13,277.95556890189073,265.42333396622223,LEC
14,295.0473244092562,291.88368965586056,LEC
15,296.73920626109117,290.9673355400104,LEC
16,252.5837780056104,232.7597957244534,LEC
17,217.7010610158016,216.57173574845976,LEC
18,274.63669234688706,275.26844661461564,VER
19,297.01476449209343,298.56558774981323,VER
20,299.510514980304,301.7438924332417,VER
21,229.43339487998907,214.99961060483943,LEC
22,256.3113415851764,254.44382805359797,LEC
23,137.318510127523,132.54905700532572,LEC
24,216.81510448454347,217.860285954582,VER
25,258.6041706666667,,LEC
