Minisector,PER,BOT,Fastest
0,290.9402737735818,287.46125376394696,PER
1,301.73105250807015,297.34106397645763,PER
2,275.67997778986665,274.67417466758457,PER
3,107.7494541937983,110.41458394764108,BOT
4,216.69337406258504,222.25474951923442,BOT
5,267.57986194511267,264.6169384462852,PER
6,202.09279251857143,204.42528623092747,BOT
7,164.47619834208513,160.8274064282342,PER
8,204.81940626880674,200.94067944302134,PER
9,203.37418172298348,211.06963514099849,BOT
10,114.79364700512537,118.69352831793898,BOT
11,227.7745621937577,221.18679135142352,PER
12,118.23913087954558,112.45489594733657,PER
13,221.75652198420966,221.0832537713076,PER
14,271.3266418389625,269.0495865272752,PER
15,212.95378647352274,204.45346211170838,PER
16,192.36979971599524,186.37139604733045,PER
17,239.3062275322864,245.85190937492982,BOT
18,192.4161547869264,191.14311955618123,PER
19,186.12286866235323,190.4105919033406,BOT
20,263.6504424640542,260.16278789957437,PER
21,288.4368836949281,282.62726200272107,PER
22,167.84367734590475,159.40097053176905,PER
23,204.04043939684658,212.75168159799637,BOT
24,270.25309365439153,269.7015248767083,PER
25,284.16,,PER
