Minisector,STR,GAS,Fastest
0,292.6477026105862,303.78541613534566,GAS
1,302.425037593985,322.30316272064726,GAS
2,302.4420765257143,301.2373884857143,STR
3,104.88023948651475,112.01793835914064,GAS
4,221.24768573769697,219.04902798475777,STR
5,279.4261405369706,272.1445567434113,STR
6,219.77324524472664,205.89759350688465,STR
7,152.62373856139698,158.35875218439634,GAS
8,202.30000794056488,210.90300721435744,GAS
9,219.61766870898285,215.6876058420148,STR
10,115.77856724312635,118.62411029915866,GAS
11,226.18176918890984,221.51492948190477,STR
12,120.71041031276893,123.91869775950104,GAS
13,209.67270993329308,219.53962240335244,GAS
14,267.68884788333065,264.9555269659864,STR
15,207.60953025103785,219.57564068820272,GAS
16,190.95760402777483,189.18404272860215,STR
17,239.15412267474747,246.25089462681103,GAS
18,193.8176900464943,199.0087061846154,GAS
19,184.91207604384007,182.8526720940057,STR
20,261.1965849625397,261.11720222857144,STR
21,286.9619461906418,285.59328027767197,STR
22,166.4207960766776,166.04103709975723,STR
23,208.53666218773336,207.06429848481332,STR
24,269.7337366621865,270.72360179070705,GAS
25,282.5928576,283.0,GAS
