Minisector,OCO,PER,Fastest
0,230.10547792038759,232.36324766117002,PER
1,288.00334437732425,287.624910072397,OCO
2,304.55912685714287,303.8773769070955,OCO
3,310.8763813085826,307.08374992,OCO
4,275.1916695111111,271.3220461777778,OCO
5,168.95587219905553,167.7707564326332,OCO
6,264.0620893218775,262.80460266038256,OCO
7,284.1866071203463,280.59558986666667,OCO
8,206.1999592415361,205.60165010405677,OCO
9,222.2059939755102,218.38162096026272,OCO
10,178.77513312651072,179.77060518661224,PER
11,226.02420504126985,225.4984493442177,OCO
12,197.7624842662947,195.70148531756567,OCO
13,210.54815107278725,210.28394192235527,OCO
14,219.28139587863888,219.27826730481794,OCO
15,177.2360709102769,176.26896134036124,OCO
16,248.6747028529254,252.27938180266668,PER
17,296.67778832503245,295.0522269942291,OCO
18,314.6350394590476,312.20574420571427,OCO
19,301.2899917836565,293.45308714316684,OCO
20,125.46989082416796,125.866028865574,PER
21,158.15555780415838,157.9097337554652,OCO
22,148.6553542487956,158.29277768528968,PER
23,200.86597373430635,194.52882563232325,OCO
24,141.8331850800803,145.17053073481608,PER
25,149.16249919999998,,OCO
