Minisector,VER,SAI,Fastest
0,247.90206491257084,245.11927298135785,VER
1,280.8165631006211,282.4205245952521,SAI
2,193.11311157849673,182.90408001209633,VER
3,152.31039570001292,150.82418448878,VER
4,258.8199071604938,256.88923918854823,VER
5,268.4036856485696,267.3360805860806,VER
6,223.77763914666667,210.1477499734517,VER
7,195.3450229827991,192.1904761904762,VER
8,151.34589595154222,150.81454051851833,VER
9,209.57217197619048,209.48216413061326,VER
10,274.9448333482667,273.06478174603177,VER
11,127.09583409382715,122.12096811469434,VER
12,202.4861101381818,210.43092140367932,SAI
13,268.4737178666667,276.7372380952381,SAI
14,287.056965543437,304.55892854718616,SAI
15,294.580303030303,318.8609904968509,SAI
16,256.14806301092324,235.88563218390806,VER
17,134.89728418935775,128.2247834985052,VER
18,129.25690242344322,126.74185127628118,VER
19,121.36456669528445,115.36405360451977,VER
20,223.87590443367682,227.06002787555556,SAI
21,256.71739865387144,252.72345679012344,VER
22,245.26717740408162,230.7956556291901,VER
23,224.3432066608055,206.7225488627451,VER
24,138.73034992691638,136.88884562159697,VER
25,206.0,,VER
