Minisector,ALB,HAD,Fastest
0,324.7023598998467,322.7088282828283,ALB
1,332.81511911788357,334.69601850158733,HAD
2,337.0171905391746,335.95399117754386,ALB
3,206.76002079932772,195.12926659337867,ALB
4,132.74774150312552,123.57399804165456,ALB
5,267.98600878517345,265.4012436232748,ALB
6,301.9853769343066,302.6442361111111,HAD
7,314.29627532121214,317.53596154943153,HAD
8,284.23335545439704,263.1995946836711,ALB
9,148.50584109221285,146.37743360025837,ALB
10,225.13984856503998,220.91486655320628,ALB
11,229.9559269837617,230.8757550532702,HAD
12,206.72895379490325,205.68183128751062,ALB
13,273.02099950450986,275.7092947330447,HAD
14,306.86671739968784,310.75206840259835,HAD
15,316.300069073325,324.3353436734157,HAD
16,277.1376053295037,254.1891830830769,ALB
17,222.17075007264367,224.29881325029433,HAD
18,281.3759880925339,282.88193650771564,HAD
19,310.94181167141346,313.6736131316455,HAD
20,323.9057017035923,324.85980392156864,HAD
21,316.10023137122806,285.7926154170629,ALB
22,220.12009641858725,213.56649561221656,ALB
23,268.51357551826084,271.865302751151,HAD
24,306.307559115099,308.460620597595,HAD
25,316.26944426666665,,ALB
