Minisector,PIA,ALO,Fastest
0,253.06232700391536,246.2112361734369,PIA
1,206.02886315649647,209.7656442408791,ALO
2,203.22941095236658,209.78064279914886,ALO
3,260.6706580296414,259.1528531652525,PIA
4,276.7271363707937,274.66577920480705,PIA
5,290.0213646328889,291.0426171248485,ALO
6,158.78980230754334,155.19665324085506,PIA
7,179.69197748755212,183.8334137452519,ALO
8,269.7154403881481,271.68799228887906,ALO
9,296.83989569765583,305.4455663012063,ALO
10,309.28464050306894,314.28988807720515,ALO
11,309.23881387795416,298.5983092397661,PIA
12,111.58257730110215,108.45207115784011,PIA
13,188.71512940911418,199.650979730116,ALO
14,271.285761565291,278.85216007885714,ALO
15,298.7632834807017,309.48661083597887,ALO
16,302.96682331936506,311.43202494332974,ALO
17,179.9791563197383,179.27539965561297,PIA
18,218.6873936136127,224.96252858694885,ALO
19,268.3802057536508,258.4945896185034,PIA
20,161.6271930196029,147.85557900640134,PIA
21,142.62823678572283,144.84551138898956,ALO
22,219.56865865912778,222.6832224193411,ALO
23,226.18223733028572,222.71276257060694,PIA
24,158.15378877442052,151.16480775278131,PIA
25,222.7250048,,PIA
