Minisector,RUS,OCO,Fastest
0,272.67529010766486,262.93204674951636,RUS
1,126.14737439396015,113.8180832681123,RUS
2,154.24439088696144,158.46844556838204,OCO
3,213.75161158767506,192.64090482659876,RUS
4,161.76925205918175,164.62306597282492,OCO
5,237.26009508398474,242.06014595939385,OCO
6,216.35754374407958,195.3471462372038,RUS
7,133.58999688338832,135.17266513825518,OCO
8,227.43218473052613,231.48252940779153,OCO
9,267.92465180921886,271.12854332916896,OCO
10,271.89872256962406,268.0828419806536,RUS
11,146.51573581280454,138.63792530640023,RUS
12,215.45655460193623,216.37088080519564,OCO
13,262.07068249200046,264.23693193410475,OCO
14,249.48224095999998,246.2184463002469,RUS
15,100.00053924350522,98.86901185994536,RUS
16,217.02567462466743,218.93399965419002,OCO
17,264.1532118632869,271.3993281807408,OCO
18,286.71536685950736,293.13342325347753,OCO
19,297.20960233965593,303.6435884154653,OCO
20,304.1276353502075,308.7079365587302,OCO
21,287.44720502235305,266.8035359791059,RUS
22,149.98030623806898,145.63150315773987,RUS
23,231.85918757239764,234.25241343154434,OCO
24,272.3194382596752,273.4813248265801,OCO
