Minisector,RIC,KVY,Fastest
0,237.56488069596648,235.29514422248624,RIC
1,283.913571072,286.9093196432283,KVY
2,297.95394273524744,305.88307895608204,KVY
3,305.61818841043475,312.0838767768116,KVY
4,255.28802293086687,253.1004514506751,RIC
5,171.03420627772357,165.5098663655606,RIC
6,264.27771146808533,265.8729280902998,KVY
7,283.7213093973333,282.9225308839506,RIC
8,212.2112084985034,201.87418370683451,RIC
9,225.87968642380952,220.5123688302725,RIC
10,179.08061042666665,171.53749925079364,RIC
11,228.32652129160886,228.37437087591965,KVY
12,200.1538198814815,197.0410239680622,RIC
13,208.478617551393,207.39326996825397,RIC
14,221.03451814761905,225.73266903915493,KVY
15,179.16738393210665,167.5549689637166,RIC
16,249.22333149328853,255.81436866206897,KVY
17,288.2941837444444,303.6618533432712,KVY
18,301.59227997975904,323.1865943188406,KVY
19,292.0852356034973,297.3931699111111,KVY
20,130.31839360761307,123.10360329826189,RIC
21,150.92760897667634,148.40440997208114,RIC
22,156.4808233733448,154.64397363646614,RIC
23,201.87379234738702,195.66654008498432,RIC
24,150.90838655995344,140.95457940513327,RIC
