Minisector,VER,LEC,Fastest
0,315.7675185273201,317.65320198545453,LEC
1,324.6840081095551,323.98892956362437,VER
2,325.72733147301585,320.2072207468489,VER
3,186.84377389053225,195.9102002895238,LEC
4,129.43398521717438,127.65494629929005,VER
5,259.0778459114667,261.2384083774359,LEC
6,295.85445931419315,297.3724850638095,LEC
7,308.91167566836367,307.34725874887215,VER
8,265.7204438120546,268.1347397639885,LEC
9,144.93224766918877,145.80096762214654,LEC
10,216.02655305290324,212.8479357258835,VER
11,213.7506426552381,219.08106207726206,LEC
12,197.96601728201682,193.1081411582404,VER
13,263.9448283106543,264.6811850727562,LEC
14,299.0955514748904,300.54194674873855,LEC
15,313.94807006745333,312.4268181006699,VER
16,267.6416501585348,252.07633061189162,VER
17,209.89330511029908,207.2245198222054,VER
18,270.27676533684985,271.77651009015875,LEC
19,300.5944388842481,304.11475231117794,LEC
20,314.1379194038689,312.83246692250464,VER
21,296.8317476170159,300.0345990857143,LEC
22,211.14246951894415,209.5228429049719,VER
23,259.438048584127,261.3256303024176,LEC
24,296.43951649637256,298.95754634100985,LEC
25,306.2812512,311.10227258181817,LEC
