Minisector,RIC,NOR,Fastest
0,285.25318891462666,278.7362205087818,RIC
1,302.7413189483242,298.93574881026984,RIC
2,297.1689093665563,294.7320919828728,RIC
3,167.3426060977321,168.17257599993908,NOR
4,124.27367821343432,125.97202424204161,NOR
5,242.0071955038197,243.10326065405266,NOR
6,295.7953931140766,283.47435856410254,RIC
7,305.6960177030747,287.0606460237478,RIC
8,176.67837916983368,179.25449502192427,NOR
9,145.81688568452032,147.45815001614773,NOR
10,258.75343135317934,258.2021595412397,RIC
11,298.2254799253761,291.61223765942856,RIC
12,308.7541305918647,297.2333404787559,RIC
13,276.8218155664589,282.5740334594765,NOR
14,301.84543685714283,296.36463572905706,RIC
15,303.56798330723143,296.8305398111972,RIC
16,249.381300545156,242.92571741034277,RIC
17,223.53154990329452,236.49966146899322,NOR
18,287.4390006186666,281.5807251010323,RIC
19,318.9131007523051,299.57445359213193,RIC
20,332.96550283636367,295.4862293925766,RIC
21,221.00434067648033,227.3276431558862,NOR
22,258.33024746666666,261.8705017498308,NOR
23,144.62155847051406,134.4349386288936,RIC
24,225.78099626114752,229.65440835284238,NOR
25,265.44166613333334,,RIC
