Minisector,NOR,TSU,Fastest
0,245.2543014878619,242.781159910559,NOR
1,280.9810359564384,275.15085440969466,NOR
2,167.1880142485154,182.9304725157248,TSU
3,151.207073550628,152.22201796695202,TSU
4,255.85633645624668,255.26864764062537,NOR
5,267.0041612770724,272.2559846254545,TSU
6,225.32250002251337,236.8581376586166,TSU
7,201.56411788068206,206.3075609900408,TSU
8,155.67929457443637,165.35834778571427,TSU
9,207.18905086918588,215.09640842221015,TSU
10,270.44718790877783,269.33492656012646,NOR
11,122.51320190543674,129.5697610196971,TSU
12,206.01671908981882,207.70803672222223,TSU
13,278.63773774025975,268.0663404502971,NOR
14,312.5108609999287,289.52613993425047,NOR
15,329.23249996235296,299.1018884237873,NOR
16,266.5537522226087,243.58162994212603,NOR
17,124.64384985734941,137.00819961971206,TSU
18,129.5204165762816,136.7842341080681,TSU
19,121.5487745156825,126.6806515952237,TSU
20,223.80552882800814,225.39758392685715,TSU
21,254.0863593057331,258.8793757135161,TSU
22,236.48905691170697,237.1070687296865,TSU
23,215.95953479799283,216.5545076201092,TSU
24,135.4004072917157,136.73315266816945,TSU
25,210.359372,,NOR
