Minisector,MAG,PER,Fastest
0,276.9647105679467,283.473072559213,PER
1,299.71927909028165,308.72537465649964,PER
2,292.4971560804233,285.10265144242425,MAG
3,172.94493301889386,161.2161991667661,MAG
4,110.5428428224742,116.55730332696719,PER
5,233.70195665533205,240.13875932058804,PER
6,288.9947544827361,295.40433553512486,PER
7,305.7807533206349,298.6323669621752,MAG
8,159.7864885376775,154.06729469167607,MAG
9,130.61024343445726,133.6600777399115,PER
10,247.5063485878103,253.470574046027,PER
11,286.9283066960479,294.3875099382023,PER
12,295.7375847057107,293.2318949737252,MAG
13,264.11068408072344,264.06300604521914,MAG
14,292.7643682787902,296.87658269895496,PER
15,300.26939566646837,296.58384937329873,MAG
16,227.6127010625421,227.80646694614393,PER
17,210.53918580946373,215.17617328358054,PER
18,279.3148114771844,289.20429723003457,PER
19,310.8410605899202,318.63107498826577,PER
20,321.3272545180387,311.8261515873129,MAG
21,216.4392411263361,194.55222326967282,MAG
22,255.46838727096926,243.27380433570673,MAG
23,129.2277518518666,126.21526084842588,MAG
24,201.96777172475535,218.57490815823104,PER
25,253.93333333333334,,MAG
