Minisector,RAI,HUL,Fastest
0,298.97537429036544,278.7142856337373,RAI
1,251.5673828038095,248.60714914368242,RAI
2,271.2811126542837,267.0932510201504,RAI
3,297.0690674611527,275.39798642878753,RAI
4,132.62440005553606,134.07795160465983,HUL
5,215.6645132292957,209.6928992874807,RAI
6,273.0342389210576,261.95510824531976,RAI
7,292.78068864702425,281.28306876046133,RAI
8,301.5750637720277,288.76576112569575,RAI
9,304.7836697872114,292.1076388740741,RAI
10,287.7360290365669,268.3166143979986,RAI
11,104.20132185326486,102.27637210218136,RAI
12,229.4832770174049,225.844755405663,RAI
13,278.1553240822032,270.2689329696819,RAI
14,269.8156450354924,262.65029995173455,RAI
15,130.99331699214576,132.13444646055578,HUL
16,211.87995809431578,204.78707781101483,RAI
17,262.6019505354497,255.7900104261647,RAI
18,245.88187519029208,241.49177554371877,RAI
19,242.5552422263716,240.5697049770062,RAI
20,150.87442057067398,144.4261375696062,RAI
21,194.51851184900954,192.45647523660983,RAI
22,179.11247369766247,174.10849935670186,RAI
23,195.2077342527624,188.3922466777456,RAI
24,257.44605500841095,250.8513354174986,RAI
