Minisector,SAI,PER,Fastest
0,312.5353164600823,310.036088095577,SAI
1,235.0895706247737,224.3753319290508,SAI
2,132.02538136495357,136.59143792087073,PER
3,221.84879960401395,220.08861939538127,SAI
4,267.38726957615023,263.8904336620457,SAI
5,292.76299749955314,289.39579839278605,SAI
6,306.5544444444444,304.9785932388598,SAI
7,272.0605709893253,279.4760848867212,PER
8,169.27621780108925,172.46568930823358,PER
9,243.68251554644203,241.85340714534246,SAI
10,271.538935667934,273.18140909087106,PER
11,256.50272524173107,259.0293553125792,PER
12,203.80089739686605,203.578346833208,SAI
13,125.59257865018508,130.8969671427524,PER
14,122.77861680437013,124.75196788891586,PER
15,162.79798472632584,169.08148148864507,PER
16,125.26344055639986,124.56613560774908,SAI
17,227.06144558288236,228.75375611672007,PER
18,180.46015301482032,180.2178083932259,SAI
19,162.12030464545433,166.38204972829902,PER
20,250.42656422149125,247.30904344368315,SAI
21,279.613330187894,275.3912656938812,SAI
22,295.2366666666667,291.6825390082382,SAI
23,303.08919994416283,304.2625941897656,PER
24,307.1763889777778,309.61815870505296,PER
25,309.0,312.0,PER
