Minisector,SAI,TSU,Fastest
0,301.79907734349206,289.9369453657143,SAI
1,162.28484046972787,163.5627567217516,TSU
2,163.47875073986648,156.13202498388694,SAI
3,231.88327082040541,238.4047651879243,TSU
4,288.6710569065598,289.7388644920029,TSU
5,294.3078562691345,282.70816413671844,SAI
6,146.9197541671718,146.17556166077952,SAI
7,146.5897118464578,138.55588041923139,SAI
8,143.39125019521,141.52478156995704,SAI
9,188.43902723346605,198.14140407823518,TSU
10,140.74364080447668,132.87992137306952,SAI
11,127.1748487115329,125.09325393517234,SAI
12,172.27591855869727,177.68261586141233,TSU
13,268.85041519904473,271.4909746380315,TSU
14,294.1149781046057,292.9096781708558,SAI
15,156.49461659776412,147.99271101383334,SAI
16,191.791474018386,197.00879962288988,TSU
17,169.99394996871138,172.60960458698088,TSU
18,269.489092222473,273.1863257575758,TSU
19,293.7867396661192,297.6169082823023,TSU
20,308.1859679570755,312.50870486457177,TSU
21,316.4124817754788,320.837704478647,TSU
22,320.4868139836007,326.2018317844862,TSU
23,323.86749341291005,335.0013496497751,TSU
24,322.51019239659524,340.7134751785146,TSU
25,322.0,,SAI
