Minisector,HUL,ERI,Fastest
0,276.33496178552076,274.7806723764706,HUL
1,299.62548045128204,302.3614578,ERI
2,311.5976562,316.05819372976237,ERI
3,319.2404761904762,323.2610119619048,ERI
4,324.68621792820517,326.9661863834012,ERI
5,322.67435897435894,329.2625001142857,ERI
6,213.71122814891777,197.88106830933077,HUL
7,105.89847717491621,105.92849997140704,ERI
8,194.6704204892707,191.55521684558792,HUL
9,269.03532896806723,263.5872543372549,HUL
10,293.70952380952383,287.3871830653968,HUL
11,159.59976567699135,161.85576947914615,ERI
12,100.26368583857784,96.93667739359489,HUL
13,118.1858011946694,115.78354297573154,HUL
14,221.86258992761904,209.24671336811593,HUL
15,186.7818404166357,175.67903738606518,HUL
16,226.52812620490914,206.8754061229437,HUL
17,176.22901378725575,167.6471372800978,HUL
18,243.80482498245615,232.17916639999999,HUL
19,282.57936472380953,276.97405611642296,HUL
20,244.91567247866993,236.87458384,HUL
21,145.40793788077357,142.33377296034826,HUL
22,100.07056171214664,97.59442794932656,HUL
23,129.35643466997698,121.90141560257402,HUL
24,232.5859483983166,227.18713383272348,HUL
