Minisector,HAM,MAG,Fastest
0,290.02803108810457,290.78344347638284,MAG
1,161.72397885446438,167.7735632591739,MAG
2,172.91668245450023,165.56827052424907,HAM
3,253.99094713634688,249.98263314471075,HAM
4,282.97447919919193,285.1911488129293,MAG
5,251.22325979484884,248.61599134199136,HAM
6,226.51628059654323,219.58412827791508,HAM
7,152.49442697936607,149.53679984803827,HAM
8,227.6616124216889,223.88361886641928,HAM
9,277.54959257981494,278.6628905533747,MAG
10,296.26500636818713,297.09644736,MAG
11,302.8733872364827,305.74659428870217,MAG
12,305.74185465797825,310.9013157557894,MAG
13,307.57318374472936,309.20783443680506,MAG
14,134.21264774699293,136.12096841407387,MAG
15,123.94448683960108,120.77843058499118,HAM
16,103.05889905867068,100.75340773493643,HAM
17,233.8267496010442,225.85570156108616,HAM
18,285.6946441504974,283.9232539225397,HAM
19,303.923421870548,305.84826329165094,MAG
20,312.87022803640474,317.71100279026473,MAG
21,317.5365497263158,318.87922123015875,MAG
22,125.01136135422496,131.92952826512237,MAG
23,205.7958228143777,191.00164298169426,HAM
24,266.6783066451948,266.9616148511801,MAG
25,,281.1214281142857,MAG
