Minisector,VET,SAI,Fastest
0,296.180980738322,301.0600342327821,SAI
1,313.9049907697198,325.58083311999997,SAI
2,314.5783333333333,307.5874981333333,VET
3,183.0988923954772,178.04107431905126,VET
4,225.09520870076426,220.7626550123457,VET
5,209.00208381301883,202.86209353709117,VET
6,190.57163923493226,189.45827084444446,VET
7,220.3976455029974,213.416665611712,VET
8,264.81542002135336,256.8320926349206,VET
9,262.2498512444444,255.92590812643522,VET
10,176.49619977099894,172.13511596502588,VET
11,245.1768028973471,239.94611909592712,VET
12,119.43646092028658,116.86055390978571,VET
13,232.99541179172132,232.9595797248101,VET
14,280.3822714789201,274.2831515826087,VET
15,292.5752164502165,277.4150979324675,VET
16,210.4265587924474,201.8092571504426,VET
17,188.96334776334777,189.17829147578448,SAI
18,276.8043326937686,271.3407599304348,VET
19,301.7730952380952,294.0861216169533,VET
20,312.8266910723505,304.2489581333333,VET
21,313.2838095238095,302.8168797367765,VET
22,275.15625,240.99922865189728,VET
23,116.86081716923078,120.53985227288427,SAI
24,249.45556115782458,248.1284984502857,VET
