Minisector,PER,ALO,Fastest
0,294.6921589057326,314.99237633949963,ALO
1,296.8675438596491,321.7985291921569,ALO
2,297.479443608638,319.5943123386244,ALO
3,234.42567811638443,232.5354461591084,PER
4,238.29982697777777,232.69626212571427,PER
5,116.89174986755519,114.76774099965452,PER
6,220.06779163700753,214.36000916095247,PER
7,269.55995637056276,266.83406740194744,PER
8,236.09000213333331,237.89097519999999,ALO
9,117.34116683319613,114.92714588015973,PER
10,236.67059034273063,232.73698413244932,PER
11,258.0843617108225,256.4068844521739,PER
12,140.98118154374473,135.1426853347696,PER
13,212.3438261728395,211.68017897425045,PER
14,268.5675167419501,270.68714878730907,ALO
15,229.12268634074076,224.15677887765565,PER
16,161.38434777955138,158.52027007830688,PER
17,242.65362286376813,242.9295130666667,ALO
18,128.7368824033553,124.08993291978321,PER
19,147.83117479751365,142.67052201727742,PER
20,191.99755673431858,186.61424550537632,PER
21,257.7399509193936,258.7310649324263,ALO
22,275.1484068366888,275.8363634424243,ALO
23,280.1897915504762,282.69687472,ALO
24,289.4846540631649,293.1231247787728,ALO
25,,298.0,ALO
