Minisector,RUS,BOR,Fastest
0,261.3494180942203,257.11207042527775,RUS
1,134.22331234128586,131.71677699716247,RUS
2,267.45982472135864,266.7933055235873,RUS
3,309.35808660540954,306.8399531375089,RUS
4,310.6730780369358,307.5352399208081,RUS
5,321.3169882132996,314.9478787927273,RUS
6,326.42553007721847,320.1392380688254,RUS
7,328.5512137708212,317.4502854834162,RUS
8,204.14865607869336,211.08572383671236,BOR
9,197.39084656568437,197.84130789918646,BOR
10,181.35876273155947,187.29285152526984,BOR
11,167.70494646426397,166.73838616031546,RUS
12,254.61958754481566,249.76573370544182,RUS
13,280.09781174925973,275.02561078871196,RUS
14,284.1654798973698,278.2867607200977,RUS
15,283.9267440344472,278.0626184504434,RUS
16,169.15766934060946,175.22787852380344,BOR
17,195.66273879334022,202.20453495306512,BOR
18,246.33404215288888,242.41145046760835,RUS
19,290.3519803005257,289.67880949333335,RUS
20,312.60589864589775,309.07874897809813,RUS
21,319.7235117661453,315.08565523014494,RUS
22,318.04996997147697,313.6217285351619,RUS
23,270.51376695848205,286.1386125075385,BOR
24,116.42936013120958,113.50314400360067,RUS
25,,225.8187504,BOR
