Minisector,NOR,HAM,Fastest
0,288.5917139242548,285.5589542985432,NOR
1,159.56040705812595,150.98345274153326,NOR
2,149.1420672945266,144.01379835029837,NOR
3,226.35326873167435,231.01891982283905,HAM
4,286.1168762305845,289.7491505487528,HAM
5,288.2043142247619,289.76362206997453,HAM
6,140.3119273555954,136.00305105079516,NOR
7,135.5799337991121,134.70817391224648,NOR
8,139.86107344144654,127.45992770331384,NOR
9,187.9255142671977,188.10440769567347,HAM
10,126.29508218303413,121.35633572619037,NOR
11,124.28630023112846,122.98034876522692,NOR
12,169.08745418199914,156.48825019598445,NOR
13,270.26423179687754,269.76738347016266,NOR
14,291.08514737052155,295.73930329661835,HAM
15,150.77114000580562,143.33179148331942,NOR
16,200.14616312157682,193.0874346519986,NOR
17,176.0929037481612,174.409918730078,NOR
18,270.92493046495787,275.75394803132275,HAM
19,293.7011024587239,298.5012229077686,HAM
20,308.69413241465753,313.7959776831336,HAM
21,316.94759835580953,324.23968274285716,HAM
22,321.89082884791446,329.4089381354889,HAM
23,324.49984313766237,333.1429923636364,HAM
24,323.00553244298334,332.9430963816993,HAM
25,319.0,,NOR
