Minisector,RUS,LEC,Fastest
0,284.8147340088889,295.2366656295416,LEC
1,293.2113636987013,301.10728791714286,LEC
2,237.0925314535619,249.02689477579858,LEC
3,119.90170545376635,119.73999249287465,RUS
4,134.68354066649886,131.78139898053948,RUS
5,255.28439038176347,258.4443464977825,LEC
6,245.45435740666667,264.5363315950476,LEC
7,128.7471851587733,122.654731103812,RUS
8,253.06569482112553,242.8399878339048,RUS
9,255.72391150064024,248.85413643671495,RUS
10,213.04011450484333,219.17404479739633,LEC
11,143.80775041632725,151.20280044399584,LEC
12,204.5259662115654,198.4101845388546,RUS
13,254.0423452584814,258.24908237883596,LEC
14,113.87637156383204,117.29196566114102,LEC
15,192.82342850620898,181.0111886771706,RUS
16,270.9309690867633,265.7686544927536,RUS
17,312.97185719887955,306.99517808518107,RUS
18,323.7016527787862,318.07420639879064,RUS
19,327.2149719502521,310.66242825777033,RUS
20,325.15689887695237,305.00608332800005,RUS
21,190.66381841438192,185.09534046199886,RUS
22,143.34121934017116,130.9212009797357,RUS
23,191.20521988626848,194.52371909344964,LEC
24,231.52879095515516,245.14829658679966,LEC
25,258.0,282.10749888,LEC
