Minisector,VER,HAD,Fastest
0,97.85001659064083,207.1407965588406,HAD
1,124.90601232253968,205.0,HAD
2,197.47752366222224,242.41667230832823,HAD
3,238.4825524,271.60877151812866,HAD
4,259.0355264,280.81904792380953,HAD
5,259.21194389333334,180.90909721904762,VER
6,164.95980760615384,115.77617809297297,VER
7,116.45254065987803,136.76507145882354,HAD
8,138.96811259863946,194.97363881623318,HAD
9,199.65245577142858,172.12129032258065,VER
10,216.097510532119,110.46420280524217,VER
11,247.17458378666666,116.60752144957266,VER
12,274.98502383940297,164.4901882013986,VER
13,292.1611112296296,181.03381300306646,VER
14,298.88916672,138.9768047668801,VER
15,284.6603374676692,129.78422663807302,VER
16,260.50985238588237,171.2924317753208,VER
17,206.59860873485954,221.22501409656834,HAD
18,217.32258175911224,249.85312439999998,HAD
19,178.64654146077922,267.56722161777776,HAD
20,136.84868817777777,291.42857142857144,HAD
21,153.72195392688172,303.7718748,HAD
22,198.44491159893332,310.0,HAD
23,226.21052631578948,319.7060604121212,HAD
24,148.72161336666667,323.6666666666667,HAD
25,,323.644,HAD
