Minisector,VER,RAI,Fastest
0,278.9673821491108,277.6864584789372,VER
1,295.6685099804359,296.33082921862217,RAI
2,242.5073499841895,227.81662167812377,VER
3,120.17706297777612,118.80436220597434,VER
4,138.74124805706253,138.72381235513217,VER
5,251.7225636751198,248.53275025103815,VER
6,261.9516630259138,251.70675089528132,VER
7,129.10935983868254,128.5996061936808,VER
8,246.07889341033786,245.91126688456296,VER
9,264.7351311288479,250.03490140507404,VER
10,215.03406140773552,204.762627251589,VER
11,148.79815834129315,143.13595916768676,VER
12,211.55497560591417,209.30293920734746,VER
13,261.55659634780824,254.0310562388439,VER
14,119.77091471459131,112.79823088437595,VER
15,196.4873998490067,192.51141603575212,VER
16,256.8804029799129,255.31652195305134,VER
17,284.8476885615993,284.04646839273204,VER
18,295.31754498890996,296.0622731928083,RAI
19,299.8552083733333,303.26022883864096,RAI
20,302.35437514666665,305.09460907830453,RAI
21,164.3136576089771,152.22150087786076,VER
22,151.10614483538066,163.15570508854836,RAI
23,201.53634965185958,189.50581226114775,VER
24,235.7447944744515,232.70543511788307,VER
25,266.8500032,,VER
