Minisector,SAI,GAS,Fastest
0,309.99360159238097,289.1583538578413,SAI
1,320.5516956655226,297.7338241896649,SAI
2,323.7634804705882,302.2067460063492,SAI
3,320.71271825964914,302.2995628350877,SAI
4,165.20651517344433,175.42891587878788,GAS
5,206.30580411428573,213.0866484946292,GAS
6,234.20613450734626,235.2681874498486,GAS
7,263.0076348952381,262.53183642588914,SAI
8,249.38650305845457,260.2239139710145,GAS
9,161.55603082362646,163.66432185855444,GAS
10,227.3995597079101,230.25142747156067,GAS
11,133.6326743364595,134.31131312757336,GAS
12,228.41102718453038,227.45705062564105,SAI
13,184.68731896796535,194.09855802673397,GAS
14,219.22451917004457,216.99580263221208,SAI
15,240.69928073015873,248.54580892851297,GAS
16,260.16236428896985,261.4957555659303,GAS
17,282.07941747167916,282.53306540952383,GAS
18,158.45509540489644,165.83642430955334,GAS
19,173.04411777254904,170.0230082016046,SAI
20,145.3308615987652,144.88154750117462,SAI
21,163.66359000947125,166.5988749983935,GAS
22,113.77313107504762,113.63048003930129,SAI
23,221.58383877248613,218.42747177142857,SAI
24,269.58522773333334,267.42845607251735,SAI
25,285.4833344,282.04166613333336,SAI
