Minisector,VER,NOR,Fastest
0,298.85274971225397,317.992055379317,NOR
1,135.20487962178925,145.19702057916,NOR
2,212.79285822315947,220.02452509707592,NOR
3,279.8266848183878,277.2687675911111,VER
4,319.9129483579494,312.99635319338574,VER
5,315.87517436121215,322.08684035932646,NOR
6,145.60912568262364,155.45122498263842,NOR
7,240.87030987701425,248.87954895817322,NOR
8,112.17197675184865,121.1468650096332,NOR
9,154.8249762851282,143.17203250459292,VER
10,274.62601324444444,267.23221945258484,VER
11,298.4454001108067,295.73669674752495,VER
12,251.39070118252874,268.4850764489851,NOR
13,154.7816658445501,162.17561759577092,NOR
14,272.10538864242915,272.8507978743643,NOR
15,308.4740463737198,306.6799918698465,VER
16,323.2121877029787,323.13029505253263,VER
17,334.89565239033817,330.6682531040994,VER
18,344.187860009697,334.6050907032369,VER
19,349.18564341778034,338.52769276371885,VER
20,223.03961010372788,249.51022699573696,NOR
21,146.89436647205562,150.2767646217517,NOR
22,273.17824968023086,275.19917258906617,NOR
23,310.90158773115644,309.9396393279457,VER
24,325.88246929626723,320.31732991906495,VER
25,324.6583338666667,320.9839282285714,VER
