Minisector,ALB,STR,Fastest
0,306.8020739514375,298.90601181797973,ALB
1,186.55677398369554,185.16196793536182,ALB
2,227.1411014810778,221.69102868235362,ALB
3,277.819088274882,274.9773134855844,ALB
4,222.66232500717544,235.44668950684357,STR
5,121.97283342149167,123.89072150871749,STR
6,201.8983610690866,201.86427935534397,ALB
7,246.10881875132088,230.66337464419487,ALB
8,218.17749403847745,216.79008459995543,ALB
9,225.05693505515876,227.17426878594526,STR
10,273.0639277925433,269.6543801471605,ALB
11,291.83395343158264,288.7600336812706,ALB
12,307.90679753390276,300.3475094693018,ALB
13,322.8335815278638,318.38115098062104,ALB
14,327.5234353446626,324.44678571428574,ALB
15,233.01886451566682,222.687659938411,ALB
16,224.46418146100015,233.17055403514388,STR
17,282.30070926392756,280.5061481080059,ALB
18,300.0666021077444,293.05795987491996,ALB
19,141.66239256554505,137.94111992770806,ALB
20,192.9212365200085,181.80331496927369,ALB
21,148.0312816235612,166.43737745738304,STR
22,132.1825662057824,137.55536203912783,STR
23,242.60498045240857,235.0499148610744,ALB
24,297.2409812733359,282.5814984855437,ALB
25,314.14285714285717,,ALB
