Minisector,PER,OCO,Fastest
0,298.8965482242157,293.07321443809525,PER
1,237.62630010677952,237.6620269429277,OCO
2,191.57249593997113,189.1260976697992,PER
3,262.14178428279394,259.41857064579506,PER
4,219.2848662512619,222.61767737081593,OCO
5,109.39415515431543,111.05448351599968,OCO
6,174.62902343645996,164.5788068222794,PER
7,258.7211670042452,258.629098557594,PER
8,293.17002371577513,286.11580914034613,PER
9,308.6690031211362,302.1756779168831,PER
10,315.78444044419047,304.4894719897484,PER
11,222.82038472409567,224.71159543043578,OCO
12,137.7906194103592,134.597783096489,PER
13,254.05180110002425,250.19688496188903,PER
14,293.6065766145184,286.96717032558047,PER
15,306.4064655752804,298.6350000510145,PER
16,302.00153508771933,291.4253119877268,PER
17,253.0333413094231,253.83579262124542,OCO
18,178.8600014459966,178.36442611746713,PER
19,169.99783153902573,180.46366876330242,OCO
20,174.50838492718728,168.19397416251132,PER
21,235.25429028647193,241.44069542901565,OCO
22,118.67777862467156,119.95850782266001,OCO
23,200.51585508916244,183.46774720377047,PER
24,277.43469787583547,271.14566035807894,PER
25,,286.0,OCO
