Minisector,HAM,GIO,Fastest
0,293.0104818062341,302.98052490017506,GIO
1,297.02574404761907,306.2451030987755,GIO
2,163.97154842532328,155.0846093123928,HAM
3,229.7029217345098,224.81643080723114,HAM
4,278.1059116414882,283.333266659536,GIO
5,296.47509598243624,308.1166328952177,GIO
6,303.65183023114423,321.33312414175754,GIO
7,158.0035585791946,144.28620336624604,HAM
8,139.05185546691777,143.59515437754,GIO
9,254.3046174014502,258.01325281646393,GIO
10,286.4046000432194,295.5912199743408,GIO
11,295.7705379242145,304.88792677816707,GIO
12,138.96711521788572,137.4348684781529,HAM
13,203.18768580712776,197.43631346913557,HAM
14,259.6736973186638,258.63218200380516,HAM
15,207.18467193275868,188.15249415949424,HAM
16,224.43832284379556,221.37237176297722,HAM
17,216.06354904356434,204.1909509231206,HAM
18,244.41895661652615,241.7826553662406,HAM
19,278.6033792410807,274.7927621830148,HAM
20,295.3858035804466,290.9858327537296,HAM
21,263.57446386894867,257.4831045377988,HAM
22,226.12601813782544,220.29414585300114,HAM
23,212.29627987738124,207.98041985212004,HAM
24,266.6236616719255,269.88344457955554,GIO
25,285.1785728,290.51041599999996,GIO
