Minisector,BOT,STR,Fastest
0,257.1761153393985,252.65856504527576,BOT
1,208.75966913015873,206.47441989177204,BOT
2,223.35534905603095,216.19045992397696,BOT
3,261.87216095140417,260.343011495445,BOT
4,275.51923714194345,275.0070869354307,BOT
5,216.01151598571428,224.59568421022158,STR
6,98.72505571417643,96.43010944370452,BOT
7,182.63770858025393,176.69251735827217,BOT
8,268.1969547897436,264.169980430634,BOT
9,289.66397407241163,286.5071725073903,BOT
10,298.3286457777778,295.0298912463768,BOT
11,293.63212435033034,294.1763141466094,STR
12,113.59869707491023,141.31124776825396,STR
13,216.56878602380954,213.35950482951554,BOT
14,276.6121187230476,273.83584302912425,BOT
15,293.51689949151137,292.51156871777613,BOT
16,215.21673520612615,196.94468873295875,BOT
17,126.51872246834915,117.58560943855677,BOT
18,152.6045854095238,155.5948065397339,STR
19,252.17579777593141,253.70796476617465,STR
20,157.44232600799424,149.16158979447803,BOT
21,131.22720826862306,124.69596671307032,BOT
22,206.94157813290562,206.63122246412982,BOT
23,208.07999826673932,199.29675350697454,BOT
24,169.21839404227643,162.9975449241048,BOT
