Minisector,NOR,VER,Fastest
0,306.23829833229274,301.86485672619045,NOR
1,206.20742174436768,203.68587468268052,NOR
2,149.95361592142856,145.26661424664024,NOR
3,228.73670103873013,218.92640176895966,NOR
4,165.69526693454364,159.2241354084131,NOR
5,185.70521947136416,169.88545945400887,NOR
6,258.1344825618713,248.32291259746134,NOR
7,280.8581896417175,274.5240719611578,NOR
8,289.56888896948146,282.838051119978,NOR
9,263.66436874812484,249.11425745714286,NOR
10,246.70025911099856,238.2678921567675,NOR
11,242.27479155555557,229.3646054984127,NOR
12,205.0967576825893,204.4455896700914,NOR
13,126.54043716425413,132.92467679523648,VER
14,134.1254209434833,138.8611537048007,VER
15,172.4739974606349,175.49099026445342,VER
16,248.32887256812367,243.82804072421052,NOR
17,248.40433931555557,238.72222618412698,NOR
18,111.91892436138681,118.01057768635366,VER
19,204.12046484018208,192.55720531681825,NOR
20,206.89383420586665,198.37708753243493,NOR
21,242.23273232611785,231.66318359238744,NOR
22,269.375545423752,261.30765316011684,NOR
23,289.88973242857145,280.91346842014127,NOR
24,302.04555373511107,294.3731293377195,NOR
25,,299.0,VER
