Minisector,LEC,HAM,Fastest
0,307.6392123146667,312.7163030865485,HAM
1,316.90594258285716,326.6830529777998,HAM
2,303.3071726242226,310.4064212376181,HAM
3,181.95886505489503,176.49950369565786,LEC
4,217.93992359009525,212.39100460159236,LEC
5,199.47740152900366,196.90624633233784,LEC
6,182.2984135526816,178.38077030547763,LEC
7,199.4610751687542,204.35455471304098,HAM
8,253.7989551884146,252.81113014367165,LEC
9,260.6596022044444,249.4260278621645,LEC
10,177.72626151798409,170.20749879793783,LEC
11,230.27694995063453,233.8253416508706,HAM
12,124.37582062862599,123.12196082716854,LEC
13,240.40527657235396,237.36784693800615,LEC
14,281.0375295639979,276.723468381687,LEC
15,276.3986310215963,272.95986504357865,LEC
16,210.3025524514139,202.33322218003073,LEC
17,198.04163524777778,198.46591287496162,HAM
18,288.8936398217197,291.3126746433058,HAM
19,319.08102714612227,326.8345040863492,HAM
20,322.5955002453333,327.86719571216935,HAM
21,302.28658953815784,301.8499239588572,LEC
22,281.2209515784242,247.8644207591026,LEC
23,123.08452240487091,126.07147532511829,HAM
24,248.40994210044713,249.5694924254945,HAM
