Minisector,VET,LEC,Fastest
0,301.5726013252525,302.003968152381,LEC
1,323.3596716199392,324.9108716317889,LEC
2,312.97687461333334,318.8427083733333,LEC
3,184.53722251194532,184.50858728123634,VET
4,226.97323325856468,230.1493163118166,LEC
5,206.82774486720604,211.00108001585056,LEC
6,194.6950741106305,197.78377484976957,LEC
7,221.7273918855254,220.0001752678597,VET
8,262.8571915434017,260.5830226815735,VET
9,262.04816219296066,266.41733376,LEC
10,181.50474624966085,178.5329272800565,VET
11,246.60083389561905,248.9801978541769,LEC
12,123.46613476132276,124.01880813678359,LEC
13,233.62747209114568,239.6005030521166,LEC
14,277.0984853887446,281.19986764912636,LEC
15,289.9140365316137,291.0267042909091,LEC
16,213.01719339118168,208.21042649287654,VET
17,192.9636144520447,193.53679883393568,LEC
18,275.07233665346314,281.49286872154585,LEC
19,299.2610417066667,304.5988423123156,LEC
20,311.7274438736842,315.33000000000004,LEC
21,312.99073967792754,314.5408182408442,LEC
22,268.124455591342,246.87536625934067,VET
23,119.78190631153855,117.68910269010988,VET
24,246.3956981218222,252.65737848359356,LEC
