Minisector,ALO,ZHO,Fastest
0,287.5588780283541,287.99708257829485,ZHO
1,297.4565767529412,296.7718796062156,ALO
2,279.0554927392562,278.6314242266474,ALO
3,105.84980958347514,105.76234073035629,ALO
4,221.42401313636685,219.13095024344594,ALO
5,270.22978508824775,268.71025074444447,ALO
6,193.55885981530378,208.5646168739243,ZHO
7,158.57937214172236,158.26120240348266,ALO
8,207.19759836955802,206.33993446062377,ALO
9,209.984582355671,211.27556633540846,ZHO
10,118.95249968256893,117.64745248840505,ALO
11,225.14729756725123,226.43577745230772,ZHO
12,121.04975984684759,117.30384807433558,ALO
13,219.34825794593053,219.13386080361082,ALO
14,271.1778045931094,271.06461767238096,ALO
15,208.64449926510105,213.317915177523,ZHO
16,191.54727737319237,179.70179943969697,ALO
17,245.93786646905517,242.3703090213423,ALO
18,195.3373032314752,204.86045535466667,ZHO
19,179.9222053854778,174.69556052288692,ALO
20,257.5150448032399,258.5123952474074,ZHO
21,283.3374999111111,283.4259206385811,ZHO
22,175.9212171556545,172.38267429550356,ALO
23,205.0398801408534,205.1149499628118,ZHO
24,270.1604574786866,267.88307240874,ALO
25,282.28,281.1749994666667,ALO
