Minisector,HAM,STR,Fastest
0,308.1054884557983,292.15023447333334,HAM
1,211.22965782905337,225.0488950811944,STR
2,131.70881612032957,131.10912938194005,HAM
3,219.10619518350376,211.16302803751327,HAM
4,262.30788734730163,259.1392307082251,HAM
5,287.7420220168034,285.23981412063495,HAM
6,301.4067540239776,298.48961723117606,HAM
7,265.82107477027114,267.7533527967347,STR
8,171.68239454238469,164.9986186411865,HAM
9,239.81185499063608,233.062776608,HAM
10,273.4889388165079,268.2701398151871,HAM
11,256.17519223498664,259.80107880602793,STR
12,206.18846300727344,207.2143622360494,STR
13,121.21948811668932,119.79466822513609,HAM
14,125.87781773671365,124.20355917712622,HAM
15,153.31381920444565,159.10424595827664,STR
16,125.48418250618198,122.78249330102881,HAM
17,230.05454060578987,222.16280481596374,HAM
18,172.24654585084247,184.7559192852971,STR
19,161.25800541251766,152.20497358867655,HAM
20,241.51604694703383,239.85123661414568,HAM
21,272.9855437478059,268.4677706421164,HAM
22,291.53450688291815,286.31571387697477,HAM
23,301.4016070120635,296.9687107766667,HAM
24,306.20836043359304,302.4173706632442,HAM
25,,304.87083306666665,STR
