Minisector,NOR,OCO,Fastest
0,307.36393245306147,293.78729078864274,NOR
1,322.6656847919098,303.4119356554522,NOR
2,303.1099381669759,278.2989846462574,NOR
3,103.50376814201331,108.71268933815585,OCO
4,226.58921877454918,223.30668290799687,NOR
5,282.4353983180375,273.0929154149083,NOR
6,221.53602155530407,196.13652849806803,NOR
7,154.42313993943014,163.33049005514488,OCO
8,209.2446521727556,199.37907735368773,NOR
9,210.05922418864816,206.25602722658007,NOR
10,115.58243003747066,113.46048486061773,NOR
11,228.48203090926108,226.84490890821684,NOR
12,115.55559042266943,116.25906652627934,OCO
13,221.21738493034925,224.58263800023516,OCO
14,275.7271738434783,279.38781123132276,OCO
15,216.90515965504048,206.83645579283208,NOR
16,180.8547500905428,180.3846841009009,NOR
17,244.1113292431527,249.6789361457557,OCO
18,200.79095526511435,187.85837110004437,NOR
19,180.33575018030646,176.09106762509887,NOR
20,263.44552722165577,266.41977495138394,OCO
21,288.8275538011297,294.5629179669602,OCO
22,176.91582923715876,164.45737578889663,NOR
23,210.8096588707648,215.4524367501654,OCO
24,271.7246014737572,277.4410452544772,OCO
