Minisector,ALB,NOR,Fastest
0,256.0840150634594,257.0127455517661,NOR
1,210.58754478843767,198.6750825713069,ALB
2,216.2769050411021,222.1297981537263,NOR
3,260.6646853981723,261.7607975203701,NOR
4,273.9155045877551,272.58480082139056,ALB
5,214.42859746475077,212.92360982344516,ALB
6,94.64959730840387,90.43976833820774,ALB
7,185.35690185688466,193.76594588384484,NOR
8,269.0346202197701,272.9269498680154,NOR
9,291.648322367189,294.9742034444922,NOR
10,299.5232892930016,303.90995923607323,NOR
11,293.87100781804503,302.3847204977778,NOR
12,110.23032840057024,107.82129855856739,ALB
13,210.4783564512359,222.24567210957682,NOR
14,276.34727892219405,280.6431662402872,NOR
15,295.4070041050704,299.16308281278424,NOR
16,217.4013695053754,220.58437499535873,NOR
17,124.07940830966338,120.317443409247,ALB
18,152.16663298626,150.24812153088925,ALB
19,250.50117272557205,250.97101728581484,NOR
20,157.29734133890105,148.84945403801314,ALB
21,128.04747849679376,127.21730858057437,ALB
22,204.42877000539445,207.3935516760676,NOR
23,206.23808837242234,197.92087919188646,ALB
24,166.0840659895198,161.48346309902036,ALB
