Minisector,VER,PIA,Fastest
0,294.9966157521886,293.6617989802215,VER
1,216.05775932835218,214.0401143390891,VER
2,233.3262801495591,228.02306866767955,VER
3,277.3173577994478,272.03608177990606,VER
4,241.92732812609694,244.8587182567493,PIA
5,133.6630549912837,130.72351193444513,VER
6,212.52043569824056,214.0267647127321,PIA
7,261.56829195545356,260.17706691735015,VER
8,251.46698733602182,252.97666059682538,PIA
9,241.05832491745593,239.778093900448,VER
10,275.88352765084886,272.3948596491159,VER
11,289.6422955577274,286.6804777085714,VER
12,297.45618639906024,293.0143058488889,VER
13,301.56904765968255,296.73502660300295,VER
14,295.39677814923783,297.5307404173913,PIA
15,259.304627584265,264.04651786969123,PIA
16,248.33281112333725,249.32803833963393,PIA
17,278.45028876882486,274.83503836767676,VER
18,285.38670480246793,284.855777985253,VER
19,161.22987560662085,170.1427469058201,PIA
20,211.41180323706152,212.26412454216046,PIA
21,182.85665483009672,201.8494259767429,PIA
22,140.42650735409995,134.02947058448717,VER
23,238.48313151685923,231.70734217531827,VER
24,281.54343441454546,277.85288644730946,VER
25,293.0,289.84000128,VER
