Minisector,HAM,OCO,Fastest
0,285.42647123002797,279.79323329260967,HAM
1,121.66221918653517,116.7339616762556,HAM
2,164.17509643753215,161.736614193498,HAM
3,211.48037165820105,208.91249349233954,HAM
4,160.3216319193896,163.6638514563265,OCO
5,243.37697104550267,243.74959353769827,OCO
6,212.3022297635533,224.29528316331977,OCO
7,139.0561502725354,134.30747819799757,HAM
8,234.87419232725026,240.8349953700858,OCO
9,277.4582041,278.2813826319577,OCO
10,287.5515969975655,285.5267757791778,HAM
11,153.90030215050072,159.25665118507223,OCO
12,223.83240868172336,221.89879700334788,HAM
13,272.46166568084465,270.16514884342854,HAM
14,266.8723917173754,273.6835944266667,OCO
15,98.62473555566947,106.16372782577972,OCO
16,223.0830970941203,224.762755261678,OCO
17,272.07243735278496,270.5274970465072,HAM
18,293.24861730509804,291.5659500384687,HAM
19,304.61158089411765,302.17239341472435,HAM
20,309.59732969479325,305.71851504761906,HAM
21,291.8993373125541,289.01226357287896,HAM
22,155.28805848638493,168.19606149505393,OCO
23,235.44653254824635,229.66033581511957,HAM
24,277.28210818362425,273.9769048476292,HAM
25,,285.8625008,OCO
