Minisector,NOR,ANT,Fastest
0,297.28733837627175,303.40013156432144,ANT
1,208.33898080235372,200.73280605710588,NOR
2,225.57044052249216,211.9803595813691,NOR
3,275.7038947614446,273.096460434504,NOR
4,246.9546750818481,249.2613621012131,ANT
5,132.3168810970244,125.27770809862604,NOR
6,209.78813641446874,199.79885257711655,NOR
7,244.70309500283705,231.9612955716336,NOR
8,239.01352247412495,216.00567024063295,NOR
9,232.35749130676643,222.66496271157175,NOR
10,274.4099970025198,270.29451119010116,NOR
11,289.2066307832125,290.090527697984,ANT
12,293.46846754156434,304.59485119047616,ANT
13,295.3835993563407,321.0353279235396,ANT
14,295.5775414105806,328.54428575193276,ANT
15,249.21648277525335,223.774064262657,NOR
16,239.5018793722142,229.18534740076677,NOR
17,277.8640346751868,279.71197099898933,ANT
18,289.3487023809524,303.18839266189013,ANT
19,157.7630143597912,142.54614688756413,NOR
20,212.1331632852725,191.1481463662773,NOR
21,174.3545405490031,197.08320752484025,ANT
22,146.5395428359409,131.59953074647078,NOR
23,245.47693788937752,231.60654497948914,NOR
24,284.28237131221374,293.5194825442125,ANT
25,,310.9195979123759,ANT
