Minisector,VET,MAG,Fastest
0,278.3952726510947,280.15915274378153,MAG
1,295.85768951150317,297.5331161904626,MAG
2,233.62115223288555,244.91185519171842,MAG
3,116.0309885250028,121.70983462359521,MAG
4,133.5919567875969,122.655822854112,VET
5,247.32572452173915,245.14090966218512,VET
6,256.48246537777777,265.08703357032573,MAG
7,125.38921182163705,122.3233605595238,VET
8,246.62362845548654,244.4079566010412,VET
9,249.36203424596272,262.628300834632,MAG
10,208.66163770114943,201.5288310686722,VET
11,138.41374602702106,143.52001940099797,MAG
12,206.91348314398013,199.94263837460318,VET
13,264.94483295584416,264.74895238111685,VET
14,117.24101275966386,119.86162995550819,MAG
15,184.35692847297676,178.30656546262625,VET
16,254.15984863030306,252.29058849683415,VET
17,287.5774802008246,286.9410715936508,VET
18,305.3079165866667,300.28245614035086,VET
19,312.9950397968254,305.51791664,VET
20,317.29388563420144,309.9041665185185,VET
21,171.91171711129252,211.16673851036074,MAG
22,141.95379749884407,123.5118260106271,VET
23,200.469964777843,199.99182991676963,VET
24,232.0419828038095,226.1054063603591,VET
25,265.3833344,267.28854213333335,MAG
