Minisector,SAI,LAW,Fastest
0,301.79907734349206,289.0769258989051,SAI
1,162.28484046972787,160.62502477307493,SAI
2,163.47875073986648,164.99528355178683,LAW
3,231.88327082040541,231.9425233177957,LAW
4,288.6710569065598,288.870508667248,LAW
5,294.3078562691345,281.5731983978929,SAI
6,146.9197541671718,145.76035837145682,SAI
7,146.5897118464578,143.51664904788646,SAI
8,143.39125019521,130.43354242853215,SAI
9,188.43902723346605,190.88033852831913,LAW
10,140.74364080447668,138.698005510065,SAI
11,127.1748487115329,127.51741397285764,LAW
12,172.27591855869727,178.31574230987889,LAW
13,268.85041519904473,271.38563412264614,LAW
14,294.1149781046057,293.90165538518255,SAI
15,156.49461659776412,154.30775701948554,SAI
16,191.791474018386,198.63294225703083,LAW
17,169.99394996871138,183.14345736222646,LAW
18,269.489092222473,273.79886903158393,LAW
19,293.7867396661192,295.2787986441858,LAW
20,308.1859679570755,310.3542546691876,LAW
21,316.4124817754788,317.40619373833835,LAW
22,320.4868139836007,322.0712149719754,LAW
23,323.86749341291005,321.193248984103,SAI
24,322.51019239659524,310.1358280693957,SAI
25,322.0,,SAI
