Minisector,LEC,HAM,Fastest
0,287.581810932321,288.4696769129634,HAM
1,305.21720411390345,306.42070298543285,HAM
2,305.6606829950938,299.16537314245613,LEC
3,201.8198385583473,198.60055225914266,LEC
4,234.0118638455944,232.50510423087252,LEC
5,223.39987038384928,219.19548739896877,LEC
6,205.06525097991704,211.70966705348658,HAM
7,227.08432976017957,229.42091448465098,HAM
8,265.04933074239773,267.5520128369335,HAM
9,277.2511915423084,272.6245640195346,LEC
10,176.61668690591407,176.0622602686324,LEC
11,237.40009560915985,234.64991383176704,LEC
12,121.06820534257054,114.95841774879257,LEC
13,221.31305989250663,223.2054878861942,HAM
14,278.03097547826087,276.0378085982203,LEC
15,293.924589202963,293.13742407757576,LEC
16,226.4788249579233,219.53996342413913,LEC
17,185.17509748395793,184.69764040156824,LEC
18,266.54880331409595,265.7157750896886,LEC
19,292.5762795323077,292.61887272742877,HAM
20,304.43842784242423,304.63649112675654,HAM
21,306.2201885622575,305.40482250525156,LEC
22,272.28572413856983,280.4067516872994,HAM
23,120.47256576771365,117.85917005578096,LEC
24,247.84176429154834,244.16989356770642,LEC
25,,275.16666666666663,HAM
