Minisector,HUL,SAI,Fastest
0,279.298248012403,278.79153640350734,HUL
1,294.97125008,295.4212498133333,SAI
2,236.66040678603534,234.27639957809978,HUL
3,115.68537570420169,112.62248621885252,HUL
4,136.44071250852713,132.6537937458986,HUL
5,249.62218874418238,248.5778038700355,HUL
6,257.49478924444446,254.3880767065645,HUL
7,124.60818570739947,122.76750556363679,HUL
8,245.2278991304348,247.4616392695652,SAI
9,261.0601952418199,255.29188588432962,HUL
10,210.459556958036,207.97992622134646,HUL
11,143.91516426183873,144.2087434797244,SAI
12,206.99562848472908,208.14981734585328,SAI
13,264.5781925333333,262.24288443290044,HUL
14,118.95971008260938,118.97939139346855,SAI
15,191.58427262392556,189.67588682969082,HUL
16,257.2504823776266,255.6189393939394,HUL
17,287.4692461641723,286.8662059305004,HUL
18,299.9300439578947,300.36979162666665,SAI
19,303.61864039298246,305.9513158736842,SAI
20,307.0616118229998,309.79978060350874,SAI
21,173.15974597675617,169.06221967509057,HUL
22,143.10500133333332,143.38258500702662,SAI
23,205.64118431067368,199.69773715909653,HUL
24,237.4343345066667,233.88000042666667,HUL
25,266.01659855939033,264.25518639141876,HUL
