Minisector,VER,RIC,Fastest
0,273.947953344708,283.48104149333335,RIC
1,291.019815470183,309.3124167045055,RIC
2,293.6747806877193,305.20529088677245,RIC
3,130.62045619950626,119.20262288386729,VER
4,208.45948949976955,211.29182048395063,RIC
5,256.27893631126193,256.14897179895934,VER
6,145.8979971920672,143.33975704336547,VER
7,215.34868005788624,217.21710887590206,RIC
8,262.5533220450241,261.54056530285715,VER
9,278.42562358276643,279.0600803961769,RIC
10,238.25543756516055,228.96298688116482,VER
11,180.64208451136304,175.41132785714285,VER
12,206.48581318914748,209.5903845224041,RIC
13,147.94946427069982,144.7084537184538,VER
14,182.90410776231607,181.63915731533496,VER
15,170.6451434446747,169.80473804101382,VER
16,226.60509500621032,231.7757623052612,RIC
17,235.0408841071217,232.41579871111114,VER
18,247.78403716017317,247.23436486502231,VER
19,234.25598787515085,214.1811357978022,VER
20,149.52346903368402,156.1769445671429,RIC
21,135.11526342975137,130.04116435461583,VER
22,181.03250778870495,182.15339558012286,RIC
23,156.53789693555404,159.73574065639755,RIC
24,237.8038646148185,235.9338286630539,VER
