Minisector,PIA,RUS,Fastest
0,276.510879010352,275.7096921859364,PIA
1,299.5755790952727,298.06579888126987,PIA
2,301.495654532943,300.5280451753383,PIA
3,186.02884748739962,186.6509122446011,RUS
4,122.17456787878845,115.04919989263931,PIA
5,238.2903482669197,236.68248022957582,PIA
6,283.0547441879456,281.3879045984107,PIA
7,295.3483886282433,299.4745823893333,RUS
8,181.14064700849582,174.75886725916519,PIA
9,138.8810778282705,139.09874044564282,RUS
10,250.84306205857834,252.02306208211198,RUS
11,288.5693993074968,290.10365876285715,RUS
12,299.9086498291573,300.15484160345153,RUS
13,288.29436870350577,282.26575990327274,PIA
14,306.2423026053333,305.6457487176289,PIA
15,310.3704337721212,314.12309270690906,RUS
16,258.09876271725716,241.13430489069827,PIA
17,222.23808146951427,222.51875842666666,RUS
18,277.8775216510145,278.5027999246903,RUS
19,305.99135765790476,306.19033622312924,RUS
20,314.51531221333335,314.2333361058647,PIA
21,249.93842457766235,227.79888567827678,PIA
22,266.5382441470037,260.85070448862285,PIA
23,138.51154755058732,132.35668516698186,PIA
24,212.07061904147466,211.23950702973096,PIA
