Minisector,SAI,KVY,Fastest
0,274.3979332969428,275.989275228713,KVY
1,289.08118280084653,292.6661137360316,KVY
2,284.6467446088596,285.1206945880693,KVY
3,174.37505451029972,176.01427242421383,KVY
4,133.33130566817292,132.22942446231613,SAI
5,246.3994159325705,248.03477022947143,KVY
6,282.0289229241796,295.25713708700755,KVY
7,281.1726200278177,302.0997227204543,KVY
8,178.2555294988747,165.93384059815162,SAI
9,146.76962731313375,149.2948879748338,KVY
10,254.41490427034645,256.56634014427885,KVY
11,284.14357108717127,288.78270325047106,KVY
12,287.7756533534651,297.7324633618057,KVY
13,275.25442483219393,283.2642540766532,KVY
14,291.2363219367267,300.6693934181072,KVY
15,299.0210307224268,301.9261455605268,KVY
16,263.17466332989784,245.64942777331802,SAI
17,240.06143174826366,223.89884734292053,SAI
18,282.7097954468484,287.5887802655546,KVY
19,300.0366566418141,317.9880943390989,KVY
20,304.4236342289537,317.7468323723468,KVY
21,227.53983194349024,208.25278964391256,SAI
22,258.6554882923725,251.27763703676555,SAI
23,139.28833899486318,135.38927730150382,SAI
24,224.08782217038487,227.4232836218008,KVY
25,258.3640190489656,,SAI
