Minisector,SAI,RUS,Fastest
0,281.69988531738386,278.02680203290043,SAI
1,296.72558217461227,295.19748503279527,SAI
2,291.5968276068237,289.3108656278021,SAI
3,175.76924393547785,174.3019174037694,SAI
4,216.7475342570598,206.3693723213708,SAI
5,194.8922487851799,189.57093236061957,SAI
6,175.9754147049906,168.8527140992386,SAI
7,202.33949463723786,195.52300764767458,SAI
8,254.59466604285714,246.59507312306985,SAI
9,261.86490590202544,260.20811612854806,SAI
10,166.16832034741597,170.2924014142477,RUS
11,231.766669448506,225.28269324518135,SAI
12,111.50376640750335,110.27266243215136,SAI
13,218.13189387776498,208.36032142665672,SAI
14,274.53514774494334,270.2987221936041,SAI
15,288.78845966084526,288.04589216205943,SAI
16,208.44712937509797,212.8931723124301,RUS
17,182.025185475213,176.9104778350284,SAI
18,265.57027567238094,261.50400760557324,SAI
19,290.09996035911604,288.393114170818,SAI
20,301.42440035959595,300.3128292360784,SAI
21,301.20248914839823,297.2564956145946,SAI
22,288.74803178763415,265.4915019288585,SAI
23,113.56827899613458,114.90054183007102,RUS
24,236.2217189396355,228.3313792913415,SAI
25,,262.1,RUS
