Minisector,LEC,TSU,Fastest
0,290.30450519443224,286.6149453078261,LEC
1,303.26075438209944,296.14850515547334,LEC
2,308.0210689015873,301.58594910419754,LEC
3,309.56250011428574,302.6419966632738,LEC
4,194.24830949155273,186.40519988834055,LEC
5,214.5070960153375,213.07311622913582,LEC
6,267.0121478673106,262.671190156991,LEC
7,269.5111420266667,267.2767958695527,LEC
8,190.9525596656171,187.09077069948236,LEC
9,157.21751970170655,157.46094862212172,TSU
10,187.23513037453745,175.58558419378667,LEC
11,257.5514678200963,254.24258558066543,LEC
12,251.2010422636774,248.97534226600806,LEC
13,233.70551380897962,225.59214486165655,LEC
14,273.61814990334756,262.1211286938987,LEC
15,174.87139272507235,179.3160314514286,TSU
16,220.0316489328363,208.05519901313707,LEC
17,245.10336942452014,247.4386058920635,TSU
18,137.5647426200916,133.2204419030936,LEC
19,237.8271492608432,228.4991933388818,LEC
20,273.8413339697479,273.0633089636806,LEC
21,247.6112339014493,271.56969956,TSU
22,142.81113237324394,139.06854114978123,LEC
23,212.9879819468697,197.37924311646353,LEC
24,268.9675871059879,261.28865397599395,LEC
25,,279.39444355555554,TSU
