Minisector,SAI,GIO,Fastest
0,300.43476364914716,293.7596588121212,SAI
1,319.8289057997321,305.91636737288115,SAI
2,327.5394736280702,311.38201784475405,SAI
3,324.0580829433584,310.7497807719298,SAI
4,190.0564228037178,196.34583678336307,GIO
5,226.86347699535267,219.63951834013605,SAI
6,271.0760028291976,267.8988021301904,SAI
7,267.7088536159127,273.02588085134573,GIO
8,193.08500864770838,193.26659689182594,GIO
9,150.01944916184507,159.40534415417596,GIO
10,192.7877033791917,183.30524067795838,SAI
11,263.4897252586755,260.5014487188406,SAI
12,245.4404175622205,256.75994848121206,GIO
13,228.3000793898713,225.96354083809524,SAI
14,274.3532327098735,273.757559931659,SAI
15,171.34717424338623,178.44272879457884,GIO
16,220.07438624485505,216.2913076905755,SAI
17,247.02444106424812,254.58924746463683,GIO
18,137.5663043171755,135.16036324050538,SAI
19,246.67948245358468,236.01783223466668,SAI
20,283.4151852392671,277.58793504774115,SAI
21,249.45304665907784,273.8392221019864,GIO
22,144.09604216382422,144.93925135447535,GIO
23,213.5771983270318,200.77519084248405,SAI
24,275.99532358756113,268.4676131878788,SAI
25,,285.0966780153943,GIO
