Minisector,HUL,GRO,Fastest
0,278.7142856337373,288.6389498408931,GRO
1,248.60714914368242,242.5623397340412,HUL
2,267.0932510201504,269.2357739922732,GRO
3,277.127279748128,291.0554286315421,GRO
4,137.02326866769508,125.71739539895648,HUL
5,209.6928992874807,206.83102928243795,HUL
6,261.95510824531976,271.412503696337,GRO
7,281.28306876046133,299.88234740633914,GRO
8,288.76576112569575,313.689450203486,GRO
9,292.05514704313725,321.93452256969874,GRO
10,269.61573995599866,307.1514184620173,GRO
11,100.89425724712383,104.31795804926095,GRO
12,223.4167225619385,218.34949959965468,HUL
13,270.2689329696819,271.67798301810456,GRO
14,266.8530943934976,276.1826716042065,GRO
15,132.31865698687156,134.31071561935937,GRO
16,203.79559469857423,205.8324823309482,GRO
17,255.7900104261647,256.8557839527169,GRO
18,242.65964801229856,258.71198266573396,GRO
19,239.54991503132976,241.9760383230326,GRO
20,144.4261375696062,155.23168418916967,GRO
21,192.45647523660983,186.9847505909041,HUL
22,174.10849935670186,174.15788785264988,GRO
23,188.3922466777456,184.70247679569007,HUL
24,249.94765216170686,248.53499615446464,HUL
25,268.92500053333333,276.08368305708905,GRO
