Minisector,VER,VET,Fastest
0,274.20942742031747,272.17829869555555,VER
1,291.6349362634548,287.98268904748613,VER
2,290.4197752550265,288.54185892525254,VER
3,174.82657169046877,184.36880956380952,VET
4,115.67780076354808,120.31025982179894,VET
5,234.01368529305728,232.71775520873328,VER
6,277.177780565047,274.4338513252131,VER
7,290.65577199108543,284.90252131623845,VER
8,171.63267943804058,178.3120759542984,VET
9,137.40206362400005,141.08794421377075,VET
10,245.8266041478116,243.36085227272727,VER
11,285.6320812095425,282.2165803805629,VER
12,293.629153739538,296.06687427664696,VET
13,265.73650853925926,269.7213554481199,VET
14,291.3166600840377,287.27743347918664,VER
15,292.4179270990099,290.95597386328234,VER
16,237.60381166897477,236.13702973675214,VER
17,213.19115006795556,214.5149934293199,VET
18,272.95988069721636,267.3804300045299,VER
19,296.9410717954499,289.1198015941228,VER
20,304.67406141903484,298.02642319653677,VER
21,217.5520661134109,222.79512201080493,VET
22,251.3158061107408,253.06902025567237,VET
23,136.68148392941066,136.3184437046399,VER
24,211.9542975763645,205.38239337939825,VER
25,253.22000128,254.0,VET
