Minisector,GAS,SAR,Fastest
0,243.66932704335238,252.0341677724757,SAR
1,276.4532774826667,292.40015457414387,SAR
2,170.08741963852145,156.51191700642013,GAS
3,152.79442544127136,160.31519073837893,SAR
4,255.30569457005714,252.07306422867026,GAS
5,264.8351278416649,239.64501181252527,GAS
6,226.42067257641025,204.21798824333845,GAS
7,203.98716225570007,189.77159460642363,GAS
8,158.1339707992381,149.1084589312452,GAS
9,209.93026589170069,217.05107364141261,SAR
10,269.89092423023766,276.1304205929004,SAR
11,130.9124140222962,116.16580177576516,GAS
12,197.74532714161103,214.00200157333333,SAR
13,268.7996373501968,277.9221118527988,SAR
14,290.63327203029905,306.5142848927485,SAR
15,297.6066523049928,317.23451023342596,SAR
16,231.71487990109546,216.90185368266367,GAS
17,132.5442472026282,131.37902495527558,GAS
18,128.11370577015998,132.54886168197,SAR
19,121.51436160087451,119.17529392996026,GAS
20,225.56509673532,217.79047676724684,GAS
21,257.88579731803344,248.29167022864067,GAS
22,240.86937567706036,217.32525382063437,GAS
23,211.45333423354793,195.19972233296818,GAS
24,136.25334754532142,139.3210106455444,SAR
