Minisector,PER,ZHO,Fastest
0,297.4343625535353,312.47390310520433,ZHO
1,217.220113400685,196.05563406560847,PER
2,230.59439611989023,223.0385100214343,PER
3,276.53748987716307,279.3513102701631,ZHO
4,245.88681989594303,234.70272305117652,PER
5,132.57548787655284,126.58220633646047,PER
6,204.8404853186977,210.32017960992835,ZHO
7,256.88269222890267,262.3414091076274,ZHO
8,262.27974260016896,238.58470147415778,PER
9,243.90101773253247,233.30992741217287,PER
10,277.36874772206204,272.4783134554497,PER
11,293.243062344696,288.10320100792006,PER
12,302.5405038059422,301.90897727777354,PER
13,307.2261140991087,313.86011390640573,ZHO
14,307.44779390802137,312.97642896754206,ZHO
15,272.7217119745992,253.2790064312576,PER
16,244.8154847352981,241.16412482057905,PER
17,278.84856654545456,281.889761796698,ZHO
18,291.98757171437336,304.4456124357446,ZHO
19,157.23970126554192,153.50474969711286,PER
20,213.8587528707626,203.23066618414535,PER
21,198.76575114099916,182.7215453663492,PER
22,143.45771719852627,139.84521890214123,PER
23,240.9222952992477,237.85970422375132,PER
24,285.33716978624335,292.6539097557012,ZHO
25,295.7500003555555,305.9437504,ZHO
