Minisector,COL,LAW,Fastest
0,265.7201426024955,274.61626795497835,LAW
1,118.05072007512078,114.44103736698958,COL
2,167.73794106303274,159.62428575029477,COL
3,205.2497271825397,205.89991810561767,LAW
4,162.58110705024248,157.7703462087619,COL
5,242.15683621933624,239.35176624570295,COL
6,199.9212580035639,202.9375869574095,LAW
7,133.46901265210084,128.9281473680052,COL
8,235.55811428771926,239.45111320197532,LAW
9,290.3669642857143,283.81548081389354,COL
10,283.13681200424344,279.6672900111525,COL
11,146.7900530944178,149.4581685671111,LAW
12,225.5273742417939,218.31275133155555,COL
13,277.6138889888889,274.93366069542486,COL
14,254.70505952380952,241.46419946051785,COL
15,101.0306464802917,99.50218189369316,COL
16,227.02044213290824,223.79833414716052,COL
17,293.6075929259281,283.93551717460315,COL
18,317.77710622710623,314.22840401628264,COL
19,325.1915816326531,324.0756261249293,COL
20,328.85502383085714,316.17128360163264,COL
21,271.29067460317464,286.73657792174606,LAW
22,149.8967091873826,149.59037747381834,COL
23,235.99561403508773,234.82440677840512,COL
24,281.3453047119157,272.62138283725244,COL
25,294.0,277.05833344,COL
