Minisector,KVY,GAS,Fastest
0,235.29514422248624,235.92100173249108,GAS
1,286.9093196432283,283.5285947211303,KVY
2,305.88307895608204,297.61133329066666,KVY
3,312.0838767768116,305.04829198178055,KVY
4,253.1004514506751,271.01239386391035,GAS
5,165.5098663655606,167.92222716219513,GAS
6,265.8729280902998,263.6710287637355,KVY
7,282.9225308839506,281.79980800237826,KVY
8,201.87418370683451,216.78197597045695,GAS
9,220.5123688302725,222.35351880948394,GAS
10,171.53749925079364,185.58678157432337,GAS
11,228.37437087591965,227.07160668339284,KVY
12,197.0410239680622,205.83101589334882,GAS
13,209.5742465703081,212.87040680690518,GAS
14,221.39196957332194,223.22521423044319,GAS
15,169.7118446741043,181.08118980479003,GAS
16,255.81436866206897,247.92751696259154,KVY
17,303.6618533432712,287.06062194852825,KVY
18,323.1865943188406,300.69365936231884,KVY
19,297.3931699111111,297.1185562656415,KVY
20,122.08642315244025,130.97718594987762,GAS
21,150.77662815983624,164.57395051784437,GAS
22,152.10555229023353,146.71207148374245,KVY
23,197.3919870998938,203.32949832202127,GAS
24,139.8195885793879,147.21421737994388,GAS
25,189.70953264634744,,KVY
