Minisector,GAS,STR,Fastest
0,250.74836864378693,262.14066140164203,STR
1,131.520893735455,134.17818085779967,STR
2,261.61106273103445,266.3314360739089,STR
3,304.8666430335608,312.3684397349206,STR
4,303.20821431466663,312.26045959932037,STR
5,310.534647752381,320.55922603636367,STR
6,314.52430555555554,327.2588768,STR
7,308.8819443953813,326.21597235555555,STR
8,200.38095343633157,195.286695805194,GAS
9,190.09074000807848,185.1215763542857,GAS
10,182.09456480237012,186.072802002591,STR
11,163.28392789640355,163.85059436021163,STR
12,245.85460654037175,250.03624160651952,STR
13,267.70164466661345,278.35072781093476,STR
14,271.5481989680732,278.47599007545,STR
15,271.43853734603175,278.1308647407715,STR
16,180.63876839833588,180.22938435865274,GAS
17,192.00438743709952,190.07013202442002,GAS
18,237.92034680914577,233.6704405897515,GAS
19,284.199277568,285.9914451890901,STR
20,304.7449997653333,311.88529350055353,STR
21,312.18566455238096,321.3891864063492,STR
22,305.916842254623,319.7422360248447,STR
23,268.7503187863946,270.96711691972786,STR
24,111.4688363086383,112.19564797103774,STR
25,222.79166933333335,227.94166293333333,STR
