Minisector,ALO,TSU,Fastest
0,300.34304649059743,296.03729911688316,ALO
1,162.03256407871646,152.7535665187779,ALO
2,158.93228480597426,154.13031511215942,ALO
3,230.2731472807619,221.2044104739785,ALO
4,288.7002320267054,283.2474543118429,ALO
5,291.3940707790174,294.20344479758126,TSU
6,144.63442352511518,141.7393292851975,ALO
7,147.0184772564519,139.93674843566137,ALO
8,135.68045711978763,143.59008588394477,TSU
9,186.85174400846668,175.3097910283315,ALO
10,124.44272902090515,129.64410984186443,TSU
11,125.9412727242465,124.87017829732841,ALO
12,174.4695499275759,160.34174633395426,ALO
13,268.6046760808103,263.00809299169083,ALO
14,294.65746034427934,290.4310987248485,ALO
15,150.39341819469888,150.6371969976675,TSU
16,222.0984896196808,212.31317118843248,ALO
17,184.2733372106578,164.0209337083914,ALO
18,274.05283111253425,268.24219822751326,ALO
19,298.6473530729412,293.6130199636734,ALO
20,312.30968167183676,307.2428633200907,ALO
21,321.512156227391,317.3968084814512,ALO
22,326.0190478019048,320.66171533777776,ALO
23,328.88120304601506,322.6248214285714,ALO
24,329.3965311020096,323.917391917587,ALO
25,,321.0,TSU
