Minisector,HAM,BOT,Fastest
0,280.79416289352554,291.04073335271374,BOT
1,291.1467578493402,312.6776295564946,BOT
2,241.82499261943641,246.92995612201287,BOT
3,120.68085927130522,120.9492373519037,BOT
4,141.56940957644466,141.97643268275573,BOT
5,251.10639140975945,253.93819163944906,BOT
6,252.05562813224233,247.07807448640762,HAM
7,128.56508079282332,131.8316258557781,BOT
8,247.81308235867928,251.4063848891253,BOT
9,262.9363870537199,264.86777894174446,BOT
10,212.4265987861791,210.845919340293,HAM
11,148.74826254561341,148.5680477163646,HAM
12,213.38340035399833,223.0503266839953,BOT
13,256.72586682654963,257.46620922272496,BOT
14,119.87472838517049,117.78948675847033,HAM
15,200.6461488873795,208.34033594507272,BOT
16,259.41155381965933,264.93829161383843,BOT
17,285.98079618180344,293.00081818560454,BOT
18,296.0544325677949,307.70004137062034,BOT
19,301.54348226156367,321.7264809161082,BOT
20,299.1014208653101,330.54048910173356,BOT
21,164.64301790387924,152.6380313144029,HAM
22,152.7946846496559,158.74649516682666,BOT
23,205.54997037119534,184.06897065937267,HAM
24,239.2775090093264,241.9227898614724,BOT
25,268.5833322666667,,HAM
